customer_id,customer_name,join_date,location
1000,Customer_1000,2020-01-01,Ohio
1001,Customer_1001,2020-01-08,Utah
1002,Customer_1002,2020-01-15,Nevada
1003,Customer_1003,2020-01-22,Nevada
1004,Customer_1004,2020-01-29,Utah
1005,Customer_1005,2020-02-05,Texas
1006,Customer_1006,2020-02-12,Ohio
1007,Customer_1007,2020-02-19,Utah
1008,Customer_1008,2020-02-26,Nevada
1009,Customer_1009,2020-03-04,Utah
1010,Customer_1010,2020-03-11,Utah
1011,Customer_1011,2020-03-18,Nevada
1012,Customer_1012,2020-03-25,Colorado
1013,Customer_1013,2020-04-01,Ohio
1014,Customer_1014,2020-04-08,Utah
1015,Customer_1015,2020-04-15,Ohio
1016,Customer_1016,2020-04-22,Texas
1017,Customer_1017,2020-04-29,California
1018,Customer_1018,2020-05-06,Texas
1019,Customer_1019,2020-05-13,Texas
1020,Customer_1020,2020-05-20,Utah
1021,Customer_1021,2020-05-27,Ohio
1022,Customer_1022,2020-06-03,Nevada
1023,Customer_1023,2020-06-10,Utah
1024,Customer_1024,2020-06-17,Colorado
1025,Customer_1025,2020-06-24,California
1026,Customer_1026,2020-07-01,Utah
1027,Customer_1027,2020-07-08,Colorado
1028,Customer_1028,2020-07-15,Ohio
1029,Customer_1029,2020-07-22,Utah
1030,Customer_1030,2020-07-29,Nevada
1031,Customer_1031,2020-08-05,Colorado
1032,Customer_1032,2020-08-12,Texas
1033,Customer_1033,2020-08-19,Colorado
1034,Customer_1034,2020-08-26,Nevada
1035,Customer_1035,2020-09-02,Nevada
1036,Customer_1036,2020-09-09,Utah
1037,Customer_1037,2020-09-16,Nevada
1038,Customer_1038,2020-09-23,Colorado
1039,Customer_1039,2020-09-30,California
1040,Customer_1040,2020-10-07,Ohio
1041,Customer_1041,2020-10-14,Ohio
1042,Customer_1042,2020-10-21,Ohio
1043,Customer_1043,2020-10-28,Texas
1044,Customer_1044,2020-11-04,California
1045,Customer_1045,2020-11-11,Utah
1046,Customer_1046,2020-11-18,Texas
1047,Customer_1047,2020-11-25,Utah
1048,Customer_1048,2020-12-02,Nevada
1049,Customer_1049,2020-12-09,Utah
1050,Customer_1050,2020-12-16,Colorado
1051,Customer_1051,2020-12-23,Texas
1052,Customer_1052,2020-12-30,Texas
1053,Customer_1053,2021-01-06,Ohio
1054,Customer_1054,2021-01-13,Colorado
1055,Customer_1055,2021-01-20,Ohio
1056,Customer_1056,2021-01-27,Nevada
1057,Customer_1057,2021-02-03,Ohio
1058,Customer_1058,2021-02-10,Ohio
1059,Customer_1059,2021-02-17,Colorado
1060,Customer_1060,2021-02-24,Nevada
1061,Customer_1061,2021-03-03,Ohio
1062,Customer_1062,2021-03-10,California
1063,Customer_1063,2021-03-17,Utah
1064,Customer_1064,2021-03-24,Utah
1065,Customer_1065,2021-03-31,Utah
1066,Customer_1066,2021-04-07,Colorado
1067,Customer_1067,2021-04-14,Nevada
1068,Customer_1068,2021-04-21,Ohio
1069,Customer_1069,2021-04-28,Utah
1070,Customer_1070,2021-05-05,Colorado
1071,Customer_1071,2021-05-12,Utah
1072,Customer_1072,2021-05-19,Colorado
1073,Customer_1073,2021-05-26,Colorado
1074,Customer_1074,2021-06-02,Nevada
1075,Customer_1075,2021-06-09,Colorado
1076,Customer_1076,2021-06-16,Nevada
1077,Customer_1077,2021-06-23,Texas
1078,Customer_1078,2021-06-30,Colorado
1079,Customer_1079,2021-07-07,Ohio
1080,Customer_1080,2021-07-14,Ohio
1081,Customer_1081,2021-07-21,Nevada
1082,Customer_1082,2021-07-28,Nevada
1083,Customer_1083,2021-08-04,Utah
1084,Customer_1084,2021-08-11,California
1085,Customer_1085,2021-08-18,Colorado
1086,Customer_1086,2021-08-25,California
1087,Customer_1087,2021-09-01,Colorado
1088,Customer_1088,2021-09-08,Texas
1089,Customer_1089,2021-09-15,Texas
1090,Customer_1090,2021-09-22,California
1091,Customer_1091,2021-09-29,Nevada
1092,Customer_1092,2021-10-06,Nevada
1093,Customer_1093,2021-10-13,Texas
1094,Customer_1094,2021-10-20,Utah
1095,Customer_1095,2021-10-27,Texas
1096,Customer_1096,2021-11-03,Texas
1097,Customer_1097,2021-11-10,Colorado
1098,Customer_1098,2021-11-17,Ohio
1099,Customer_1099,2021-11-24,Nevada
